#|S
NEW YORK|T
NEW M|T
NH|T
NJ|T
NM|T
NO DAK|T
NORTH|D
NORTH CAROLINA|T
NORTH DAKOTA|T
NV|T
NW|D
NY|T
OH|T
OHIO|T
OK|T
OKLA|T
OKLAHOMA|T
OPAS|F
OR|T
ORCH|F
ORCHARD|F
ORCHRD|F
ORE|T
OREG|T
OREGON|T
OVAL|F
OVERPASS|F
OVL|F
PA|T
PARK|F
PARKS|F
PARKWAY|F
PARKWAYS|F
PARKWY|F
PASS|F
PASSAGE|F
PATH|F
PATHS|F
PENN|T
PENNA|T
PENNSYLVANIA|T
PIKE|F
PIKES|F
PINE|F
PINES|F
PKWAY|F
PKWY|F
PKWYS|F
PKY|F
PL|F
PLACE|F
PLAIN|F
PLAINS|F
PLAZA|F
PLN|F
PLNS|F
PLZ|F
PLZA|F
PNE|F
PNES|F
PO|X
PO BOX|X
POB|X
POBOX|X
POINT|F
POINTS|F
PORT|F
PORTS|F
POST|X
PR|F
PRAIRIE|F
PRK|F
PRR|F
PRT|F
PRTS|F
PSGE|F
PT|F
PTS|F
R ISL|T
RAD|F
RADIAL|F
RADIEL|F
RADL|F
RAMP|F
RANCH|F
RANCHES|F
RAPID|F
RAPIDS|F
RDG|F
RDGE|F
RDGS|F
RDS|F
REST|F
RHODE ISLAND|T
RI|T
RIDGE|F
RIDGES|F
RIV|F
RIVER|F
RIVR|F
RNCH|F
RNCHS|F
ROAD|F
ROADS|F
ROUTE|F
ROW|F
RPD|F
RPDS|F
RR|R
RST|F
RUE|F
RUN|F
RURAL|R
RURAL ROUTE|R
RVR|F
S|D
S CAR|T
S DAK|T
SC|T
SD|T
SE|D
SHL|F
SHLS|F
SHOAL|F
SHOALS|F
SHOAR|F
SHOARS|F
SHORE|F
SHORES|F
SHR|F
SHRS|F
SKWY|F
SKYWAY|F
SMT|F
SO DAK|T
SOUTH|D
SOUTH CAROLINA|T
SOUTH DAKOTA|T
SPG|F
SPGS|F
SPNG|F
SPNGS|F
SPRING|F
SPRINGS|F
SPRNG|F
SPRNGS|F
SPUR|F
SPURS|F
SQ|F
SQR|F
SQRE|F
SQRS|F
SQS|F
SQU|F
SQUARE|F
SQUARES|F
ST|F
STATION|F
STATN|F
STN|F
STR|F
STRA|F
STRAV|F
STRAVEN|F
STRAVENUE|F
STRAVN|F
STREAM|F
STREET|F
STREETS|F
STREME|F
STRM|F
STRT|F
STRVN|F
STRVNUE|F
STS|F
SUMIT|F
SUMITT|F
SUMMIT|F
SW|D
TENN|T
TENNESSEE|T
TER|F
TERR|F
TERRACE|F
TEX|T
TEXAS|T
THROUGHWAY|F
TN|T
TPKE|F
TRACE|F
TRACES|F
TRACK|F
TRACKS|F
TRAFFICWAY|F
TRAIL|F
TRAILER|F
TRAILS|F
TRAK|F
TRCE|F
TRFY|F
TRK|F
TRKS|F
TRL|F
TRLR|F
TRLRS|F
TRLS|F
TRNPK|F
TRWY|F
TUNEL|F
TUNL|F
TUNLS|F
TUNNEL|F
TUNNELS|F
TUNNL|F
TURNPIKE|F
TURNPK|F
TX|T
UN|F
UNDERPASS|F
UNION|F
UNIONS|F
UNS|F
UPAS|F
US-AK|T
US-AL|T
US-AR|T
US-AZ|T
US-CA|T
US-CO|T
US-CT|T
US-DC|T
US-DE|T
US-FL|T
US-GA|T
US-HI|T
US-IA|T
US-ID|T
US-IL|T
US-IN|T
US-KS|T
US-KY|T
US-LA|T
US-MA|T
US-MD|T
US-ME|T
US-MI|T
US-MN|T
US-MO|T
US-MS|T
US-MT|T
US-NC|T
US-ND|T
US-NE|T
US-NH|T
US-NJ|T
US-NM|T
US-NV|T
US-NY|T
US-OH|T
US-OK|T
US-OR|T
US-PA|T
US-RI|T
US-SC|T
US-SD|T
US-TN|T
US-TX|T
